Opponent,Yards Gained,Points Scored,Off Turnovers,Def Turnovers
Rice,486,52,1,2
Sam Houston State,714,65,1,2
Alabama,628,42,2,1
SMU ,581,42,1,3
Arkansas ,523,45,0,2
Ole Miss ,587,41,2,1
Auburn,602,41,2,1
Vanderbilt,558,56,5,3
UTEP ,564,57,1,4
Mississippi State,537,51,3,1
LSU ,299,10,2,0
Missouri ,379,21,1,0
Duke ,541,52,0,2
