Yards Gained,Points Scored,Off Turnovers,Def Turnovers
486,52,1,2
714,65,1,2
628,42,2,1
581,42,1,3
523,45,0,2
587,41,2,1
602,41,2,1
558,56,5,3
564,57,1,4
537,51,3,1
299,10,2,0
379,21,1,0
541,52,0,2
